iou,mse,ssim
0.9557603686635945,0.001331393956206739,0.9895681018266366
0.9899938738002859,0.0015745939454063773,0.9848167140280073
0.9968051118210862,0.0003091692633461207,0.9948556685238954
0.9918319719953326,0.0002984902821481228,0.9932389857147549
0.9036544850498339,0.0028056229930371046,0.9760926600756166
0.9516129032258065,0.0012735871132463217,0.9776715358754414
0.9364583333333333,0.001507705426774919,0.9816528937276273
0.9543899657924744,0.0009335388895124197,0.9933840482885677
0.7676258992805756,0.0072900899685919285,0.9324268395469628
0.8558382257012394,0.004823490045964718,0.9589428273527536
0.9663461538461539,0.00024131890677381307,0.9910852330605282
0.9805596465390279,0.0018322040559723973,0.9846342042811235
0.8257317903335603,0.0054276990704238415,0.9456149636260271
0.9541666666666667,0.0006601655040867627,0.991485911905545
0.864715626725566,0.005975572392344475,0.9470977006197789
0.7448453608247423,0.004617216065526009,0.9475014318350644
0.8990442054958184,0.0037784287706017494,0.9747934663526694
0.9452054794520548,0.0013089349959045649,0.984067352214783
0.915671117357695,0.0027810228057205677,0.9701877406690067
0.9058333333333334,0.0026633599773049355,0.9754037530726353
0.8348190875721028,0.006633063778281212,0.9388611894373318
0.9625187406296851,0.0006011421792209148,0.9934686153792114
0.8269394714407502,0.004555743653327227,0.9450923400258014
0.9771929824561404,0.00035287547507323325,0.9914695022001185
0.8647214854111406,0.0022556704934686422,0.9804494918436667
0.8163884673748103,0.005274499300867319,0.9308031507769737
0.8848560700876095,0.0020594217348843813,0.9723987136106855
0.8428270042194093,0.0032140836119651794,0.9709283229898085
0.8714285714285714,0.001025688135996461,0.979479638957704
0.8595360824742269,0.004482867196202278,0.968856038268992
0.8793103448275862,0.002644633874297142,0.9841767105304139
0.9338327091136079,0.0013684509322047234,0.9887874703010854
0.9047619047619048,0.000770161219406873,0.9913617885971487
0.9454887218045113,0.0008421140955761075,0.9845844523574504
0.9250814332247557,0.0006099673337303102,0.9831163357672418
0.8555304740406321,0.005446251947432756,0.9536734822709435
0.9118181818181819,0.002170013729482889,0.985385094034337
0.9551122194513716,0.000866174406837672,0.9828197736586204
0.8837209302325582,0.0016321017174050212,0.9759330501516513
0.8521367521367521,0.004039466846734285,0.9651985813659524
0.9992765854834821,0.0001274781534448266,0.9949474558291179
0.8675623800383877,0.0017495928332209587,0.975729853629043
0.8737244897959183,0.0023855334147810936,0.9730460102687618
0.825812274368231,0.004538570996373892,0.9555032609469324
0.8909730363423212,0.002061341656371951,0.9868032192481353
0.9483146067415731,0.0010199864627793431,0.9905193995481845
0.9644693782141187,0.0022545477841049433,0.9632851502784383
0.9667477696674777,0.0009401653660461307,0.9866272606135574
0.9548532731376975,0.0010991551680490375,0.9893006017786012
0.9637426900584796,0.000953817565459758,0.9829363123536857
0.9336349924585219,0.0011257498990744352,0.9841891627418757
0.9701863354037267,0.0027597639709711075,0.9685595823520191
0.92880978865406,0.0015242835506796837,0.9820065486982874
0.9748299319727891,0.0009725430281832814,0.9901360898263457
0.8249299719887955,0.002724618185311556,0.9551004536085715
0.8702127659574468,0.0013803781475871801,0.9787133554045762
0.9037199124726477,0.002136263530701399,0.9818692035753148
0.9432835820895522,0.0009402387076988816,0.9807794153146526
1.0,1.709304706309922e-05,0.9981589464897315
0.9001029866117405,0.0023442746605724096,0.9774683401555383
0.9198542805100182,0.004268130753189325,0.9727682269682246
0.935361216730038,0.0022953078150749207,0.966377439018639
0.9092936802973978,0.00291356910020113,0.9651396791147108
0.9461924304605563,0.003014122601598501,0.9812883030758799
0.9525222551928784,0.0011762212961912155,0.9862410917509187
0.9620111731843576,0.0009141123737208545,0.9884594847454702
0.9778549717759444,0.0012024219613522291,0.9922868631932973
0.919446704637917,0.0022390454541891813,0.9785896096744318
0.8644578313253012,0.001977113541215658,0.9864610877466765
0.8533475026567482,0.006092927884310484,0.9493475111049061
0.9465930018416207,0.0007017924799583852,0.9914470705620106
0.9473684210526315,0.000726009369827807,0.9917427114439216
0.9751461988304093,0.0015477503184229136,0.9891432028573482
0.9559204840103717,0.0012622721260413527,0.990032492997917
0.9444444444444444,0.0015320441452786326,0.9822457065358162
0.9992897727272727,0.0001416380691807717,0.9965541835116496
0.7304785894206549,0.004844742827117443,0.9293738227635655
0.9429824561403509,0.0006193643785081804,0.9940707569784694
0.8060941828254847,0.004468199331313372,0.9602984191284765
0.98005698005698,0.00026676952256821096,0.9949638759852893
0.968,0.0005965235759504139,0.9930857372553118
0.9168260038240917,0.0020625402685254812,0.9789829993701793
0.946843853820598,0.0008691503899171948,0.9941221933832626
0.9763257575757576,0.0008952382486313581,0.986624684832348
0.9148247978436658,0.0034669889137148857,0.9780457382422559
0.959601259181532,0.00210415362380445,0.9812736312628884
0.9363166953528399,0.002038883976638317,0.9750353186105623
0.9193415637860082,0.0021895423997193575,0.9868404676719079
0.8960893854748604,0.0022801232989877462,0.9819121858751367
0.9429400386847195,0.0014749327674508095,0.9830015185877775
0.7554671968190855,0.008121251128613949,0.9226965476645145
0.8966331955109273,0.008417230099439621,0.9619849821212163
0.91796875,0.0020167117472738028,0.9838302030962371
0.998991935483871,0.00022885327052790672,0.9948378072292695
0.8828058169375534,0.003161052241921425,0.9629972396394058
0.9823170731707317,0.0007209678879007697,0.9866715599838345
0.9753086419753086,0.0014008295256644487,0.987641341958867
0.9970652971386648,0.0001979437074624002,0.9941062904881058
0.9990085922009253,0.00034948429674841464,0.9956585305994835
0.8350785340314136,0.004312627948820591,0.9542275656990974
0.9186813186813186,0.0008428313885815442,0.9893244186932936
0.8834429169157203,0.004385800566524267,0.9640676509457521
0.9781659388646288,0.0015123215271160007,0.9863376077469955
0.9867256637168141,0.0005402078968472779,0.9932645328561142
0.9893333333333333,0.0004803863412234932,0.9916087755362616
0.916923076923077,0.001688326708972454,0.9831220293720005
0.959409594095941,0.001620094757527113,0.991278503976209
1.0,5.0456030294299126e-05,0.9983016263488512
0.8189134808853119,0.002045081462711096,0.9739146196047647
0.8257191201353637,0.004593511577695608,0.9566862333886459
0.9638288486987208,0.0019410231616348028,0.9834021112396146
0.9218061674008811,0.0019382757600396872,0.9716071905359439
0.8973105134474327,0.0019516770262271166,0.9790816288428201
0.9303849303849304,0.0022008311934769154,0.9717175148101592
0.858281665190434,0.003465224290266633,0.9712534789026865
0.9607097591888466,0.0015790456673130393,0.9816593153262814
0.9080396475770925,0.003873999696224928,0.9632217615624126
0.872,0.0016412771074101329,0.9721248131389143
0.9417910447761194,0.002139903139322996,0.9779872133932725
0.9407744874715261,0.0031341519206762314,0.969864791669259
0.8579756226815051,0.006158914417028427,0.9433504306090338
0.9371816638370118,0.0007996628992259502,0.99524268282121
0.8645833333333334,0.003192534437403083,0.9657402521760087
0.9674620390455532,0.0004507889098022133,0.9935831809517586
0.8421052631578947,0.006629437208175659,0.9367187272090768
0.7854757929883138,0.005686428863555193,0.9420145772163895
0.9245283018867925,0.0017267157090827823,0.9818896562684984
0.9108669108669109,0.0018635621527209878,0.9820648139851221
0.9516824849007766,0.00136899808421731,0.9884020923197935
0.9992872416250891,0.00039574911352247,0.9958593381341367
0.792198049512378,0.006685340777039528,0.9483230107726542
0.9207920792079208,0.0010995883494615555,0.9863693299710965
0.9160035366931919,0.0023320375476032495,0.9675344194508578
0.8795906080674293,0.004793611355125904,0.9453652686091556
0.9528061224489796,0.000873038312420249,0.9898408298386594
0.9368421052631579,0.0014626224292442203,0.9718148573112471
0.9925925925925926,0.00023898229119367898,0.996589607017102
0.8249512670565302,0.010278217494487762,0.930312817865501
0.8672161172161172,0.0033706515096127987,0.9608304408924643
0.8255494505494505,0.005825251806527376,0.9525042146507864
0.9535747446610956,0.00145025085657835,0.9834001772857227
0.9923028589381087,0.0012355349026620388,0.981152983213478
0.9120982986767486,0.0019859089516103268,0.9840115419908909
0.9451597520267048,0.002972297603264451,0.9810634412358473
0.7242562929061785,0.0054152365773916245,0.9293615063682074
0.937245787332946,0.002735246904194355,0.9681084166801293
0.889739663093415,0.001614473876543343,0.9753056448927019
0.9451612903225807,0.002936925273388624,0.9655755826671814
0.9884784818705523,0.0016613069456070662,0.9816162817452604
0.8817991631799164,0.002626111265271902,0.9690296782438109
0.7908286403861625,0.005772469099611044,0.9505546162033092
0.9381663113006397,0.000664647901430726,0.9924199826448767
0.9692307692307692,0.0009552615811116993,0.9875656578120281
0.8793774319066148,0.001529618981294334,0.9756850903405185
0.9026754556029469,0.00632755970582366,0.9389876245547956
0.9690140845070423,0.0002868388837669045,0.9930120441184396
0.8844847112117781,0.0025004709605127573,0.9769857001724878
0.775013520822066,0.009323710575699806,0.8963432979706679
0.9218870843000774,0.002385897794738412,0.9823595532789051
0.9873417721518988,0.0003920548188034445,0.9946070749363982
0.9676746611053181,0.0008470523753203452,0.992217287718736
0.9930482409943122,0.0007931042928248644,0.9893933505565932
0.9467174119885823,0.001154269208200276,0.9911477788805657
0.9412698412698413,0.0026883103419095278,0.9836655295321797
0.9878971255673222,0.0003144634538330138,0.994776099303008
0.9421000981354269,0.0016340502770617604,0.9861939453214972
0.8761194029850746,0.0017367145046591759,0.9732715566776337
0.8827258320126783,0.0035378532484173775,0.9628335417158627
0.936231884057971,0.001144149573519826,0.9771966221241248
0.9522342064714946,0.0008294637664221227,0.9924494731416819
0.9052453468697124,0.0029293845873326063,0.9722440778382518
0.9317980513728964,0.001995534636080265,0.983042296055959
0.9813004674883128,0.0014310053084045649,0.9878238266525092
0.9155920281359906,0.003568615997210145,0.9534163886525258
0.947945205479452,0.001002612174488604,0.9880016966890032
0.950314465408805,0.001848677173256874,0.9812606810924346
0.8972457627118644,0.002377060940489173,0.9717415840037975
0.9086021505376344,0.000803941220510751,0.9873996920693704
0.94364896073903,0.0031512868590652943,0.9779005432985733
0.9215991692627207,0.003644567681476474,0.9731756109682249
0.8535031847133758,0.0024072297383099794,0.9708721760620705
0.808955223880597,0.0014297921443358064,0.9752599543308997
0.8953068592057761,0.002794235711917281,0.9817507446421478
0.9874055415617129,0.0011541297426447272,0.9897311904642853
0.8473520249221184,0.0010498701594769955,0.9829456448040146
0.9596977329974811,0.0011416623601689935,0.9878290699964413
0.9419889502762431,0.0010563209652900696,0.9834740065120446
0.8863636363636364,0.0023801533970981836,0.9787537443461025
0.9698924731182795,0.00037610504659824073,0.9941388015804552
0.9944008958566629,0.00035149080213159323,0.992992565924144
0.9512195121951219,0.0014602667652070522,0.9890695066475119
0.8590211833455077,0.004312428645789623,0.9612780242750483
0.8989473684210526,0.002152618719264865,0.9794988681621186
0.8872727272727273,0.001455569756217301,0.9809326632057926
0.9007884362680684,0.0032752864062786102,0.978327089399738
0.9774789915966386,0.0016996129415929317,0.9813165338476755
0.812035661218425,0.005820892751216888,0.9293495407984529
0.972027972027972,0.0007412967970594764,0.9871968017629681
0.9358443708609272,0.0039977142587304115,0.9646132923243231
0.9440227703984819,0.0012836344540119171,0.9851964410693399
1.0,2.160657459171489e-05,0.9987409039598227
0.8175775480059084,0.005963045638054609,0.9277297462474235
0.9737876802096985,0.000530820048879832,0.990905996808219
0.963794683776352,0.0018044086173176765,0.9796714701050682
0.9809992962702322,0.0008574035600759089,0.9877558359420197
0.9021922428330523,0.0025145544204860926,0.9764497695230491
0.9661246612466124,0.0007451791898347437,0.9861970826599393
0.9387019230769231,0.0011945809237658978,0.9782037387638156
0.9400544959128065,0.00160844752099365,0.9879834228621192
0.9280701754385965,0.0029095991048961878,0.9773172707921213
0.9838613269575612,0.0009387611644342542,0.9838312376468004
0.8543689320388349,0.0019306555623188615,0.957078955678282
0.9894435891796789,0.0013852412812411785,0.983734244167065
0.9185022026431718,0.0011602177983149886,0.9841609426920652
0.8773125608568647,0.0025896986480802298,0.9798721409573415
0.8821292775665399,0.0014839415671303868,0.9891767335542904
0.9055191768007483,0.002182143274694681,0.9840591155268774
0.9274891774891775,0.0017563048750162125,0.9775365777445845
0.7448680351906158,0.011982174590229988,0.8801494219910908
0.875,0.0013741599395871162,0.9836401294688006
0.9625935162094763,0.002190952654927969,0.9850365517125976
0.9148936170212766,0.0011599472491070628,0.9809714037215551
0.872791519434629,0.004296314436942339,0.9607016034485941
0.8849557522123894,0.0022643019910901785,0.977521304724428
0.948051948051948,0.0018949281657114625,0.9824738110316797
0.9875696528075439,0.0015046392800286412,0.9845550201544913
0.9147286821705426,0.002266880590468645,0.9830226046335719
0.9393103448275862,0.0011621554149314761,0.9869653888827614
0.9508506616257089,0.001288989675231278,0.9816671553948014
0.809102402022756,0.003866342594847083,0.9538172691229895
0.852437417654809,0.0027067672926932573,0.9719819043365594
0.840843023255814,0.005127004347741604,0.9413635647264661
0.8587786259541985,0.0035186901222914457,0.9724594963297741
0.9056,0.0013383086770772934,0.9785401136563369
0.823262839879154,0.007540307007730007,0.9371269673867826
0.908150064683053,0.0016478628385812044,0.9816886590600673
0.8414918414918415,0.001542927697300911,0.9719782339937498
0.8780788177339901,0.004510821774601936,0.9375677350453792
0.8582474226804123,0.0023124520666897297,0.9680659758808062
0.9686888454011742,0.00099901610519737,0.9854359426670237
0.8948598130841121,0.0019875431898981333,0.982618423820503
0.9310071371927042,0.002022812142968178,0.9796358026606792
0.886021505376344,0.0012372634373605251,0.978612182212019
0.9838390501319261,0.0014561297139152884,0.9865376524224333
0.898989898989899,0.007575797848403454,0.9397218616451639
0.9159327461969575,0.0023967958986759186,0.960625269874596
0.8928247048138056,0.002801991533488035,0.9636195411212166
0.8885976408912188,0.005970506463199854,0.9610807890419107
0.8589108910891089,0.004021855071187019,0.9535461044848337
0.8517964071856288,0.002048392780125141,0.9865083465486515
0.9703459637561779,0.002405689097940922,0.9901695198664272
0.9522267206477733,0.001687212148681283,0.9782624870995257
0.9874513197749892,0.0008637495920993388,0.9913209896862015
0.7443349753694581,0.011667686514556408,0.9157581803975026
0.9810599162265525,0.0023051314055919647,0.986315259758838
0.9624724061810155,0.0009041077573783696,0.9853871082553167
0.9791827293754819,0.0012158658355474472,0.987125655353002
0.9778554778554779,0.0005630932282656431,0.9905484333043291
0.7765567765567766,0.004217699635773897,0.9497024343264445
0.9132947976878613,0.0014123256551101804,0.9853784172116263
0.7996688741721855,0.002749087056145072,0.9584458935056022
0.9136960600375235,0.0010718060657382011,0.9925227096275853
0.9822761194029851,0.0011950827902182937,0.9815343241156698
0.7576509511993383,0.006839976646006107,0.9435886443337475
0.9469387755102041,0.0018152784323319793,0.9875239844856961
0.9881569207994079,0.0006533493869937956,0.9868643679709755
0.8803827751196173,0.002499509835615754,0.9721405210383641
0.9777242624924745,0.0011193322716280818,0.9861210760963195
0.948559670781893,0.0007129025179892778,0.9898591402295617
0.9462962962962963,0.0028060574550181627,0.9615146281798851
0.9557951482479784,0.0017672167159616947,0.9822798247485169
0.9687162891046386,0.0007434626459144056,0.9845156307013609
0.9409090909090909,0.0014829967403784394,0.9861231073509307
0.828080229226361,0.0014186569023877382,0.9677034535324113
0.9784172661870504,0.00024351773026864976,0.992339215996985
0.925,0.0024785418063402176,0.9634349710272876
0.93,0.0007135766209103167,0.9907598705466366
0.9909021986353298,0.0015067122876644135,0.9892105429278272
0.906785980611484,0.002871718490496278,0.9701840823733054
